"Competition","Player","Team","Age","Position","Avg.Rating","Minutes","Goals","Assists","G+A","Impact"
"UEFA Champions League 2024/25","Ben White","Arsenal",27,"Right-Back",5.57,335,0,0,0,"-"
"UEFA Champions League 2024/25","Bukayo Saka","Arsenal",23,"Right-Winger",7.17,760,6,2,8,"0.79"
"UEFA Champions League 2024/25","David Raya","Arsenal",29,"Goalkeeper",7.47,1170,0,0,0,"1.09"
"UEFA Champions League 2024/25","Declan Rice","Arsenal",26,"Left-Midfielder",7.44,1002,4,2,6,"1.06"
"UEFA Champions League 2024/25","Ethan Nwaneri","Arsenal",17,"Right-Winger",6.85,224,2,0,2,"-"
"UEFA Champions League 2024/25","Gabriel Jesus","Arsenal",27,"Centre-Foward",6.13,258,0,1,1,"-"
"UEFA Champions League 2024/25","Gabriel Magalhães","Arsenal",27,"Centre-Back",7.2,803,1,0,1,"0.82"
"UEFA Champions League 2024/25","Gabriel Martinelli","Arsenal",23,"Left-Winger",6.64,934,2,1,3,"0.26"
"UEFA Champions League 2024/25","Jakub Kiwior","Arsenal",25,"Centre-Back",5.92,772,0,0,0,"-0.46"
"UEFA Champions League 2024/25","Jorginho","Arsenal",33,"Midfielder",5.28,324,1,0,1,"-"
"UEFA Champions League 2024/25","Jurriën Timber","Arsenal",23,"Right-Back",6.89,848,1,1,2,"0.51"
"UEFA Champions League 2024/25","Kai Havertz","Arsenal",25,"Centre-Foward",7.35,561,4,1,5,"0.97"
"UEFA Champions League 2024/25","Kieran Tierney","Arsenal",27,"Left-Winger",4.93,121,0,0,0,"-"
"UEFA Champions League 2024/25","Leandro Trossard","Arsenal",30,"Centre-Foward",6.23,668,2,2,4,"-0.15"
"UEFA Champions League 2024/25","Martin Ødegaard","Arsenal",26,"Right-Midfielder",6.7,797,3,1,4,"0.32"
"UEFA Champions League 2024/25","Mikel Merino","Arsenal",28,"Centre-Foward",6.36,817,2,3,5,"-0.02"
"UEFA Champions League 2024/25","Myles Lewis-Skelly","Arsenal",18,"Left-Back",6.28,565,0,1,1,"-0.1"
"UEFA Champions League 2024/25","Neto","Arsenal",35,"Goalkeeper",6.67,90,0,0,0,"-"
"UEFA Champions League 2024/25","Oleksandr Zinchenko","Arsenal",28,"Left-Back",5.66,194,1,0,1,"-"
"UEFA Champions League 2024/25","Raheem Sterling","Arsenal",30,"Right-Winger",5.9,298,0,2,2,"-"
"UEFA Champions League 2024/25","Riccardo Calafiori","Arsenal",22,"Left-Back",6.09,431,1,1,2,"-0.29"
"UEFA Champions League 2024/25","Thomas Partey","Arsenal",31,"Midfielder",5.94,897,0,0,0,"-0.44"
"UEFA Champions League 2024/25","William Saliba","Arsenal",24,"Centre-Back",6.56,990,0,0,0,"0.18"
"UEFA Champions League 2024/25","Amadou Onana","Aston Villa",23,"Midfielder",5.9,271,1,0,1,"-"
"UEFA Champions League 2024/25","Axel Disasi","Aston Villa",27,"Right-Back",5.34,126,0,0,0,"-"
"UEFA Champions League 2024/25","Boubacar Kamara","Aston Villa",25,"Midfielder",5.72,702,0,0,0,"-0.28"
"UEFA Champions League 2024/25","Diego Carlos","Aston Villa",31,"Centre-Back",6.52,484,0,0,0,"0.52"
